時間,DD,MDD
2019-04-29,27159.942992216496,226825.87644471187
2019-04-30,44635.31740294799,226825.87644471187
2019-05-02,47316.914506208195,226825.87644471187
2019-05-03,41583.77588209066,226825.87644471187
2019-05-06,34232.88031802276,226825.87644471187
2019-05-07,15873.638703631797,226825.87644471187
2019-05-08,55703.654440069484,226825.87644471187
2019-05-09,37702.359045841455,226825.87644471187
2019-05-10,50386.45332303057,226825.87644471187
2019-05-13,88388.7436660958,226825.87644471187
2019-05-14,92524.1223457383,226825.87644471187
2019-05-15,123459.47446152815,226825.87644471187
2019-05-16,131266.3015239978,226825.87644471187
2019-05-17,122975.54716886504,226825.87644471187
2019-05-20,140192.96033755512,226825.87644471187
2019-05-21,133446.0082737469,226825.87644471187
2019-05-22,133446.0082737469,226825.87644471187
2019-05-23,133446.0082737469,226825.87644471187
2019-05-24,133446.0082737469,226825.87644471187
2019-05-27,133446.0082737469,226825.87644471187
2019-05-28,133446.0082737469,226825.87644471187
2019-05-29,133446.0082737469,226825.87644471187
2019-05-30,133446.0082737469,226825.87644471187
2019-05-31,133446.0082737469,226825.87644471187
2019-06-03,133446.0082737469,226825.87644471187
2019-06-04,133446.0082737469,226825.87644471187
2019-06-05,133446.0082737469,226825.87644471187
2019-06-06,147563.88517226215,226825.87644471187
2019-06-10,133931.9233073,226825.87644471187
2019-06-11,133931.9233073,226825.87644471187
2019-06-12,133931.9233073,226825.87644471187
2019-06-13,133931.9233073,226825.87644471187
2019-06-14,133931.9233073,226825.87644471187
2019-06-17,133931.9233073,226825.87644471187
2019-06-18,133931.9233073,226825.87644471187
2019-06-19,133931.9233073,226825.87644471187
2019-06-20,133931.9233073,226825.87644471187
2019-06-21,133931.9233073,226825.87644471187
2019-06-24,133931.9233073,226825.87644471187
2019-06-25,133931.9233073,226825.87644471187
2019-06-26,133931.9233073,226825.87644471187
2019-06-27,133931.9233073,226825.87644471187
2019-06-28,133931.9233073,226825.87644471187
2019-07-01,133931.9233073,226825.87644471187
2019-07-02,133931.9233073,226825.87644471187
2019-07-03,133931.9233073,226825.87644471187
2019-07-04,133931.9233073,226825.87644471187
2019-07-05,133931.9233073,226825.87644471187
2019-07-08,133931.9233073,226825.87644471187
2019-07-09,133931.9233073,226825.87644471187
2019-07-10,133931.9233073,226825.87644471187
2019-07-11,133931.9233073,226825.87644471187
2019-07-12,149022.54893490832,226825.87644471187
2019-07-15,158009.19873489163,226825.87644471187
2019-07-16,154195.77168348196,226825.87644471187
2019-07-17,164610.2069658414,226825.87644471187
2019-07-18,166533.91793794234,226825.87644471187
2019-07-19,155021.6475998533,226825.87644471187
2019-07-22,149182.52489908336,226825.87644471187
2019-07-23,163962.30430998266,226825.87644471187
2019-07-24,178228.16093519202,226825.87644471187
2019-07-25,178774.07891379145,226825.87644471187
2019-07-26,176474.4244255625,226825.87644471187
2019-07-29,177604.25467420166,226825.87644471187
2019-07-30,167719.7397739869,226825.87644471187
2019-07-31,166469.92755212332,226825.87644471187
2019-08-01,155505.57489214398,226825.87644471187
2019-08-02,154087.7879076918,226825.87644471187
2019-08-05,135678.55380442628,226825.87644471187
2019-08-06,99142.04323517747,226825.87644471187
2019-08-07,74019.81772615139,226825.87644471187
2019-08-08,68288.67880154414,226825.87644471187
2019-08-12,66574.93628286525,226825.87644471187
2019-08-13,88233.68216297598,226825.87644471187
2019-08-14,83808.34704763767,226825.87644471187
2019-08-15,61871.64292963777,226825.87644471187
2019-08-16,74883.68793396307,226825.87644471187
2019-08-19,54766.71041092201,226825.87644471187
2019-08-20,73515.89343838542,226825.87644471187
2019-08-21,87085.8546183718,226825.87644471187
2019-08-22,93834.8406164349,226825.87644471187
2019-08-23,94494.74146972787,226825.87644471187
2019-08-26,95290.62189232749,226825.87644471187
2019-08-27,96956.37162164212,226825.87644471187
2019-08-28,60253.88598968741,226825.87644471187
2019-08-29,66784.90473628732,226825.87644471187
2019-08-30,76195.49084176286,226825.87644471187
2019-09-02,81822.64538960047,226825.87644471187
2019-09-03,112941.96986443372,226825.87644471187
2019-09-04,116301.46511657942,226825.87644471187
2019-09-05,100975.76772745322,226825.87644471187
2019-09-06,120792.79031724703,226825.87644471187
2019-09-10,140713.7972838105,226825.87644471187
2019-09-11,145455.08492885082,226825.87644471187
2019-09-12,140043.89793296612,226825.87644471187
2019-09-16,147396.79319654434,226825.87644471187
2019-09-17,154835.6755412996,226825.87644471187
2019-09-18,168949.5550003751,226825.87644471187
2019-09-19,171136.86176806994,226825.87644471187
2019-09-20,171136.86176806994,226825.87644471187
2019-09-23,171136.86176806994,226825.87644471187
2019-09-24,171136.86176806994,226825.87644471187
2019-09-25,171136.86176806994,226825.87644471187
2019-09-26,171136.86176806994,226825.87644471187
2019-09-27,171136.86176806994,226825.87644471187
2019-10-01,171136.86176806994,226825.87644471187
2019-10-02,171136.86176806994,226825.87644471187
2019-10-03,193586.91115860041,226825.87644471187
2019-10-04,189285.34112821866,226825.87644471187
2019-10-07,189285.34112821866,226825.87644471187
2019-10-08,189285.34112821866,226825.87644471187
2019-10-09,188765.14824451308,226825.87644471187
2019-10-14,172317.6194047889,226825.87644471187
2019-10-15,197783.79323740592,226825.87644471187
2019-10-16,162391.11081411314,226825.87644471187
2019-10-17,153422.45830972242,226825.87644471187
2019-10-18,143217.99148078507,226825.87644471187
2019-10-21,138408.7140509052,226825.87644471187
2019-10-22,139740.51395455276,226825.87644471187
2019-10-23,138954.63202950457,226825.87644471187
2019-10-24,121537.24890568874,226825.87644471187
2019-10-25,127852.30010033573,226825.87644471187
2019-10-28,111760.7177812642,226825.87644471187
2019-10-29,116563.99611261323,226825.87644471187
2019-10-30,112784.5639536234,226825.87644471187
2019-10-31,109015.13029255744,226825.87644471187
2019-11-01,99734.52465785775,226825.87644471187
2019-11-04,104047.87659764032,226825.87644471187
2019-11-05,95885.10301451804,226825.87644471187
2019-11-06,64425.82961548689,226825.87644471187
2019-11-07,46992.44889521632,226825.87644471187
2019-11-08,45184.720497319206,226825.87644471187
2019-11-11,54485.32312749425,226825.87644471187
2019-11-12,59888.51132533778,226825.87644471187
2019-11-13,90335.93674944392,226825.87644471187
